title,author
Clap when you land,Acevedo Elizabeth
Little Badman and the invasion of the killer aunties,Arshad Humza & White Henry
The Underneath,Appelt Kathi
Crenshaw,Applegate Katherine
Hope Was Here,Bauer Joan
The Thing about Jellyfish,Benjamin Ali
The Girls of Skylark Lane,Benway
How Bad Are Bananas: The Carbon Footprint of Everything,Berners-Lee Mike
Doll Bones,Black Holly
The Benefits of Being an Octopus,Braden Anny
Don Quixote (English Edition),Cervantes Miguel de
Don Quixote (Spanish Edition),Cervantes Miguel de
The School for Good and Evil,Chainani Soman
A World Without Princes,Chainani Soman
The Last Ever After,Chainani Soman
Quests for Glory,Chainani Soman
A Crystal of Time,Chainani Soman
One True King,Chainani Soman
Al Capone Does My Shirts,Choldenko Gennifer
Al Capone Shines My Shoes,Choldenko Gennifer
The Boy Lost in the Maze,Coelho J
The Hunger Games,Collins Suzanne
Mockingjay,Collins Suzanne
Catching Fire,Collins Suzanne
The Face on the Milk Carton,Cooney Caroline B.
Whatever Happened to Janie?,Cooney Caroline B.
Walk Two Moons,Creech Sharon
Elijah of Buxton,Curtis Christopher Paul
Do Androids Dream of Electric Sheep?,Dick K. Philip
The London Eye Mystery,Dowd Siobhan
Out of My Mind,Draper Sharon M.
The Breadwinner,Ellis Deborah
The Breadwinner Graphic Novel,Ellis Deborah
The Ear the Eye and the Arm,Farmer Nancy
A Girl Named Disaster,Farmer Nancy
Artemis Fowl,Colfer Eoin
Inkdeath,Funke Cornelia
Inkheart,Funke Cornelia
Inkspell,Funke Cornelia
The Metamorphosis,Kafka Franz
The Midnight Children,Gemeinhart Dan
The Last Bear,Gold Hannah
Finding Bear,Gold Hannah
Turtle Moon,Gold Hannah
The Lost Whale,Gold Hannah
Lost in The Sun,Graff Lisa
Refuge Graphic Novel,Gratz Alan
Theodore Boone Kid Lawyer,Grisham John
The Summer I Turned Pretty,Han Jenny
It’s Not Summer Without You,Han Jenny
We’ll Always Have Summer,Han Jenny
To All the Boys I’ve Loved Before,Han Jenny
P.S. I Still Love You,Han Jenny
Always and Forever Lara Jean,Han Jenny
Beowulf,Heaney Seamus
Stowaway,Hesse Karen
Flush,Hiaasen Carl
Hoot,Hiaasen Carl
The Iliad Translated by Emily Wilson,Homer
Good Girls Bad Blood,Jackson Holly
As Good as Dead,Jackson Holly
A Good Girl’s Guide to Murder,Jackson Holly
Rick Riordan,Jackson Percy
Roller Girl,Jamieson Victoria
Reaching for the Moon Autobiography,Johnson Katherine
The Boy Who Harnessed The Wind,Kamkwamba William & Mealer Bryan
Crater Lake,Killick Jennifer
Dread Wood,Killick Jennifer
Inside Out & Back Again,Lai Thanhha
The Boy on the Wooden Box A Memoir,Leyson Leon
Where the Mountain Meets the Moon,Lin Grace
Wonderland,O’Connor Barbara
Wish,O’Connor Barbara
Eragon Book 1,Paolini Christopher
The Mostly True Adventures of Holmer P. Figg,Philbrick Rodman
His Dark Materials,Pullman Philip
Ghost,Reynolds Jason
Hattie Big Sky,Larson Kirby
The Silent Boy,Lowry Lois
Gathering Blue,Lowry Lois
The Assassin’s Blade,Maas Sarah J
Crown of Midnight,Maas Sarah J
Empire of Storms,Maas Sarah J
Heir of Fire,Maas Sarah J
Kingdom of Ash,Maas Sarah J
Queen of Shadows,Maas Sarah J
Throne of Glass,Maas Sarah J
Tower of Dawn,Maas Sarah J
The Secret Library,Magoon Kekla
Ten Thousand Tries,Makechnie Amy
